store_id,store_name,city,state,postal_code,region,store_type,opening_date
ST057,Laguna Niguel West Store ST057,Laguna Niguel,California,92677,West,Standard,2013-01-01
ST058,Lake Elsinore West Store ST058,Lake Elsinore,California,92530,West,Large,2013-01-01
ST059,Lake Forest West Store ST059,Lake Forest,California,92630,West,Standard,2013-01-01
ST060,Lakewood West Store ST060,Lakewood,California,90712,West,Standard,2013-01-01
ST061,Lancaster West Store ST061,Lancaster,California,93534,West,Flagship,2013-01-01
ST062,Lodi West Store ST062,Lodi,California,95240,West,Standard,2013-01-01
ST063,Long Beach West Store ST063,Long Beach,California,90805,West,Standard,2013-01-01
ST064,Los Angeles West Store ST064,Los Angeles,California,90036,West,Large,2013-01-01
ST065,Los Angeles West Store ST065,Los Angeles,California,90032,West,Standard,2013-01-01
ST066,Los Angeles West Store ST066,Los Angeles,California,90049,West,Standard,2013-01-01
ST067,Los Angeles West Store ST067,Los Angeles,California,90004,West,Large,2013-01-01
ST068,Los Angeles West Store ST068,Los Angeles,California,90045,West,Standard,2013-01-01
ST069,Los Angeles West Store ST069,Los Angeles,California,90008,West,Standard,2013-01-01
ST070,Manteca West Store ST070,Manteca,California,95336,West,Large,2013-01-01
ST071,Mission Viejo West Store ST071,Mission Viejo,California,92691,West,Flagship,2013-01-01
ST072,Modesto West Store ST072,Modesto,California,95351,West,Standard,2013-01-01
ST073,Montebello West Store ST073,Montebello,California,90640,West,Large,2013-01-01
ST074,Moreno Valley West Store ST074,Moreno Valley,California,92553,West,Standard,2013-01-01
ST075,Morgan Hill West Store ST075,Morgan Hill,California,95037,West,Standard,2013-01-01
ST076,Murrieta West Store ST076,Murrieta,California,92563,West,Large,2013-01-01
ST077,Oakland West Store ST077,Oakland,California,94601,West,Standard,2013-01-01
ST078,Oceanside West Store ST078,Oceanside,California,92054,West,Standard,2013-01-01
ST079,Ontario West Store ST079,Ontario,California,91761,West,Large,2013-01-01
ST080,Oxnard West Store ST080,Oxnard,California,93030,West,Standard,2013-01-01
ST081,Pasadena West Store ST081,Pasadena,California,91104,West,Flagship,2013-01-01
ST082,Pico Rivera West Store ST082,Pico Rivera,California,90660,West,Large,2013-01-01
ST083,Pomona West Store ST083,Pomona,California,91767,West,Standard,2013-01-01
ST084,Rancho Cucamonga West Store ST084,Rancho Cucamonga,California,91730,West,Standard,2013-01-01
ST085,Redding West Store ST085,Redding,California,96003,West,Large,2013-01-01
ST086,Redlands West Store ST086,Redlands,California,92374,West,Standard,2013-01-01
ST087,Redondo Beach West Store ST087,Redondo Beach,California,90278,West,Standard,2013-01-01
ST088,Redwood City West Store ST088,Redwood City,California,94061,West,Large,2013-01-01
ST089,Riverside West Store ST089,Riverside,California,92503,West,Standard,2013-01-01
ST090,Roseville West Store ST090,Roseville,California,95661,West,Standard,2013-01-01
ST091,Sacramento West Store ST091,Sacramento,California,95823,West,Flagship,2013-01-01
ST092,Salinas West Store ST092,Salinas,California,93905,West,Standard,2013-01-01
ST093,San Bernardino West Store ST093,San Bernardino,California,92404,West,Standard,2013-01-01
ST094,San Clemente West Store ST094,San Clemente,California,92672,West,Large,2013-01-01
ST095,San Diego West Store ST095,San Diego,California,92037,West,Standard,2013-01-01
ST096,San Diego West Store ST096,San Diego,California,92024,West,Standard,2013-01-01
ST097,San Diego West Store ST097,San Diego,California,92105,West,Large,2013-01-01
ST098,San Francisco West Store ST098,San Francisco,California,94109,West,Standard,2013-01-01
ST099,San Francisco West Store ST099,San Francisco,California,94122,West,Standard,2013-01-01
ST100,San Francisco West Store ST100,San Francisco,California,94110,West,Large,2013-01-01
ST101,San Gabriel West Store ST101,San Gabriel,California,91776,West,Flagship,2013-01-01
ST102,San Jose West Store ST102,San Jose,California,95123,West,Standard,2013-01-01
ST103,San Luis Obispo West Store ST103,San Luis Obispo,California,93405,West,Large,2013-01-01
ST104,San Mateo West Store ST104,San Mateo,California,94403,West,Standard,2013-01-01
ST105,Santa Ana West Store ST105,Santa Ana,California,92704,West,Standard,2013-01-01
ST106,Santa Barbara West Store ST106,Santa Barbara,California,93101,West,Large,2013-01-01
ST107,Santa Clara West Store ST107,Santa Clara,California,95051,West,Standard,2013-01-01
ST108,Santa Maria West Store ST108,Santa Maria,California,93454,West,Standard,2013-01-01
ST109,Stockton West Store ST109,Stockton,California,95207,West,Large,2013-01-01
ST110,Sunnyvale West Store ST110,Sunnyvale,California,94086,West,Standard,2013-01-01
ST111,Temecula West Store ST111,Temecula,California,92592,West,Flagship,2013-01-01
ST112,Thousand Oaks West Store ST112,Thousand Oaks,California,91360,West,Large,2013-01-01
ST113,Torrance West Store ST113,Torrance,California,90503,West,Standard,2013-01-01
ST114,Vacaville West Store ST114,Vacaville,California,95687,West,Standard,2013-01-01
ST115,Vallejo West Store ST115,Vallejo,California,94591,West,Large,2013-01-01
ST116,Visalia West Store ST116,Visalia,California,93277,West,Standard,2013-01-01
ST117,Westminster West Store ST117,Westminster,California,92683,West,Standard,2013-01-01
ST118,Whittier West Store ST118,Whittier,California,90604,West,Large,2013-01-01
ST119,Woodland West Store ST119,Woodland,California,95695,West,Standard,2013-01-01
ST120,Yucaipa West Store ST120,Yucaipa,California,92399,West,Standard,2013-01-01
ST121,Arvada West Store ST121,Arvada,Colorado,80004,West,Flagship,2013-01-01
ST122,Aurora West Store ST122,Aurora,Colorado,80013,West,Standard,2013-01-01
ST123,Broomfield West Store ST123,Broomfield,Colorado,80020,West,Standard,2013-01-01
ST124,Colorado Springs West Store ST124,Colorado Springs,Colorado,80906,West,Large,2013-01-01
ST125,Commerce City West Store ST125,Commerce City,Colorado,80022,West,Standard,2013-01-01
ST126,Denver West Store ST126,Denver,Colorado,80219,West,Standard,2013-01-01
ST127,Englewood West Store ST127,Englewood,Colorado,80112,West,Large,2013-01-01
ST128,Fort Collins West Store ST128,Fort Collins,Colorado,80525,West,Standard,2013-01-01
ST129,Greeley West Store ST129,Greeley,Colorado,80634,West,Standard,2013-01-01
ST130,Littleton West Store ST130,Littleton,Colorado,80122,West,Large,2013-01-01
ST131,Longmont West Store ST131,Longmont,Colorado,80501,West,Flagship,2013-01-01
ST132,Louisville West Store ST132,Louisville,Colorado,80027,West,Standard,2013-01-01
ST133,Loveland West Store ST133,Loveland,Colorado,80538,West,Large,2013-01-01
ST134,Parker West Store ST134,Parker,Colorado,80134,West,Standard,2013-01-01
ST135,Pueblo West Store ST135,Pueblo,Colorado,81001,West,Standard,2013-01-01
ST136,Thornton West Store ST136,Thornton,Colorado,80229,West,Large,2013-01-01
ST137,Bristol East Store ST137,Bristol,Connecticut,6010,East,Standard,2013-01-01
ST138,Danbury East Store ST138,Danbury,Connecticut,6810,East,Standard,2013-01-01
ST139,Fairfield East Store ST139,Fairfield,Connecticut,6824,East,Large,2013-01-01
ST140,Manchester East Store ST140,Manchester,Connecticut,6040,East,Standard,2013-01-01
ST141,Meriden East Store ST141,Meriden,Connecticut,6450,East,Flagship,2013-01-01
ST142,Middletown East Store ST142,Middletown,Connecticut,6457,East,Large,2013-01-01
ST143,Milford East Store ST143,Milford,Connecticut,6460,East,Standard,2013-01-01
ST144,Norwich East Store ST144,Norwich,Connecticut,6360,East,Standard,2013-01-01
ST145,Shelton East Store ST145,Shelton,Connecticut,6484,East,Large,2013-01-01
ST146,Waterbury East Store ST146,Waterbury,Connecticut,6708,East,Standard,2013-01-01
ST147,Dover East Store ST147,Dover,Delaware,19901,East,Standard,2013-01-01
ST148,Newark East Store ST148,Newark,Delaware,19711,East,Large,2013-01-01
ST149,Wilmington East Store ST149,Wilmington,Delaware,19805,East,Standard,2013-01-01
ST150,Washington East Store ST150,Washington,District of Columbia,20016,East,Standard,2013-01-01
ST151,Apopka South Store ST151,Apopka,Florida,32712,South,Flagship,2013-01-01
ST152,Boca Raton South Store ST152,Boca Raton,Florida,33433,South,Standard,2013-01-01
ST153,Boynton Beach South Store ST153,Boynton Beach,Florida,33437,South,Standard,2013-01-01
ST154,Coral Gables South Store ST154,Coral Gables,Florida,33134,South,Large,2013-01-01
ST155,Coral Springs South Store ST155,Coral Springs,Florida,33065,South,Standard,2013-01-01
ST156,Daytona Beach South Store ST156,Daytona Beach,Florida,32114,South,Standard,2013-01-01
ST157,Delray Beach South Store ST157,Delray Beach,Florida,33445,South,Large,2013-01-01
ST158,Deltona South Store ST158,Deltona,Florida,32725,South,Standard,2013-01-01
ST159,Fort Lauderdale South Store ST159,Fort Lauderdale,Florida,33311,South,Standard,2013-01-01
ST160,Hialeah South Store ST160,Hialeah,Florida,33012,South,Large,2013-01-01
ST161,Hollywood South Store ST161,Hollywood,Florida,33021,South,Flagship,2013-01-01
ST162,Homestead South Store ST162,Homestead,Florida,33030,South,Standard,2013-01-01
ST163,Jacksonville South Store ST163,Jacksonville,Florida,32216,South,Large,2013-01-01
ST164,Jupiter South Store ST164,Jupiter,Florida,33458,South,Standard,2013-01-01
ST165,Kissimmee South Store ST165,Kissimmee,Florida,34741,South,Standard,2013-01-01
ST166,Lakeland South Store ST166,Lakeland,Florida,33801,South,Large,2013-01-01
ST167,Margate South Store ST167,Margate,Florida,33063,South,Standard,2013-01-01
ST168,Melbourne South Store ST168,Melbourne,Florida,32935,South,Standard,2013-01-01
ST169,Miami South Store ST169,Miami,Florida,33180,South,Large,2013-01-01
ST170,Miami South Store ST170,Miami,Florida,33142,South,Standard,2013-01-01
ST171,Miami South Store ST171,Miami,Florida,33178,South,Flagship,2013-01-01
ST172,Miramar South Store ST172,Miramar,Florida,33023,South,Large,2013-01-01
ST173,North Miami South Store ST173,North Miami,Florida,33161,South,Standard,2013-01-01
ST174,Orlando South Store ST174,Orlando,Florida,32839,South,Standard,2013-01-01
ST175,Ormond Beach South Store ST175,Ormond Beach,Florida,32174,South,Large,2013-01-01
ST176,Palm Coast South Store ST176,Palm Coast,Florida,32137,South,Standard,2013-01-01
ST177,Pembroke Pines South Store ST177,Pembroke Pines,Florida,33024,South,Standard,2013-01-01
ST178,Pensacola South Store ST178,Pensacola,Florida,32503,South,Large,2013-01-01
ST179,Plantation South Store ST179,Plantation,Florida,33317,South,Standard,2013-01-01
ST180,Pompano Beach South Store ST180,Pompano Beach,Florida,33068,South,Standard,2013-01-01
ST181,Port Orange South Store ST181,Port Orange,Florida,32127,South,Flagship,2013-01-01
ST182,Port Saint Lucie South Store ST182,Port Saint Lucie,Florida,34952,South,Standard,2013-01-01
ST183,Saint Petersburg South Store ST183,Saint Petersburg,Florida,33710,South,Standard,2013-01-01
ST184,Sanford South Store ST184,Sanford,Florida,32771,South,Large,2013-01-01
ST185,Tallahassee South Store ST185,Tallahassee,Florida,32303,South,Standard,2013-01-01
ST186,Tamarac South Store ST186,Tamarac,Florida,33319,South,Standard,2013-01-01
ST187,Tampa South Store ST187,Tampa,Florida,33614,South,Large,2013-01-01
ST188,West Palm Beach South Store ST188,West Palm Beach,Florida,33407,South,Standard,2013-01-01
ST189,Athens South Store ST189,Athens,Georgia,30605,South,Standard,2013-01-01
ST190,Atlanta South Store ST190,Atlanta,Georgia,30318,South,Large,2013-01-01
ST191,Columbus South Store ST191,Columbus,Georgia,31907,South,Flagship,2013-01-01
ST192,East Point South Store ST192,East Point,Georgia,30344,South,Standard,2013-01-01
ST193,Macon South Store ST193,Macon,Georgia,31204,South,Large,2013-01-01
ST194,Marietta South Store ST194,Marietta,Georgia,30062,South,Standard,2013-01-01
ST195,Roswell South Store ST195,Roswell,Georgia,30076,South,Standard,2013-01-01
ST196,Sandy Springs South Store ST196,Sandy Springs,Georgia,30328,South,Large,2013-01-01
ST197,Smyrna South Store ST197,Smyrna,Georgia,30080,South,Standard,2013-01-01
ST198,Warner Robins South Store ST198,Warner Robins,Georgia,31088,South,Standard,2013-01-01
ST199,Woodstock South Store ST199,Woodstock,Georgia,30188,South,Large,2013-01-01
ST200,Boise West Store ST200,Boise,Idaho,83704,West,Standard,2013-01-01
ST201,Caldwell West Store ST201,Caldwell,Idaho,83605,West,Flagship,2013-01-01
ST202,Lewiston West Store ST202,Lewiston,Idaho,83501,West,Large,2013-01-01
ST203,Meridian West Store ST203,Meridian,Idaho,83642,West,Standard,2013-01-01
ST204,Pocatello West Store ST204,Pocatello,Idaho,83201,West,Standard,2013-01-01
ST205,Twin Falls West Store ST205,Twin Falls,Idaho,83301,West,Large,2013-01-01
ST206,Arlington Heights Central Store ST206,Arlington Heights,Illinois,60004,Central,Standard,2013-01-01
ST207,Aurora Central Store ST207,Aurora,Illinois,60505,Central,Standard,2013-01-01
ST208,Bloomington Central Store ST208,Bloomington,Illinois,61701,Central,Large,2013-01-01
ST209,Bolingbrook Central Store ST209,Bolingbrook,Illinois,60440,Central,Standard,2013-01-01
ST210,Buffalo Grove Central Store ST210,Buffalo Grove,Illinois,60089,Central,Standard,2013-01-01
ST211,Carol Stream Central Store ST211,Carol Stream,Illinois,60188,Central,Flagship,2013-01-01
ST212,Champaign Central Store ST212,Champaign,Illinois,61821,Central,Standard,2013-01-01
ST213,Chicago Central Store ST213,Chicago,Illinois,60610,Central,Standard,2013-01-01
ST214,Chicago Central Store ST214,Chicago,Illinois,60623,Central,Large,2013-01-01
ST215,Chicago Central Store ST215,Chicago,Illinois,60653,Central,Standard,2013-01-01
ST216,Danville Central Store ST216,Danville,Illinois,61832,Central,Standard,2013-01-01
ST217,Decatur Central Store ST217,Decatur,Illinois,62521,Central,Large,2013-01-01
ST218,Des Plaines Central Store ST218,Des Plaines,Illinois,60016,Central,Standard,2013-01-01
ST219,Elmhurst Central Store ST219,Elmhurst,Illinois,60126,Central,Standard,2013-01-01
ST220,Evanston Central Store ST220,Evanston,Illinois,60201,Central,Large,2013-01-01
ST221,Frankfort Central Store ST221,Frankfort,Illinois,60423,Central,Flagship,2013-01-01
ST222,Freeport Central Store ST222,Freeport,Illinois,61032,Central,Standard,2013-01-01
ST223,Glenview Central Store ST223,Glenview,Illinois,60025,Central,Large,2013-01-01
ST224,Highland Park Central Store ST224,Highland Park,Illinois,60035,Central,Standard,2013-01-01
ST225,Naperville Central Store ST225,Naperville,Illinois,60540,Central,Standard,2013-01-01
ST226,Normal Central Store ST226,Normal,Illinois,61761,Central,Large,2013-01-01
ST227,Oak Park Central Store ST227,Oak Park,Illinois,60302,Central,Standard,2013-01-01
ST228,Orland Park Central Store ST228,Orland Park,Illinois,60462,Central,Standard,2013-01-01
ST229,Oswego Central Store ST229,Oswego,Illinois,60543,Central,Large,2013-01-01
ST230,Palatine Central Store ST230,Palatine,Illinois,60067,Central,Standard,2013-01-01
ST231,Park Ridge Central Store ST231,Park Ridge,Illinois,60068,Central,Flagship,2013-01-01
ST232,Peoria Central Store ST232,Peoria,Illinois,61604,Central,Large,2013-01-01
ST233,Quincy Central Store ST233,Quincy,Illinois,62301,Central,Standard,2013-01-01
ST234,Rockford Central Store ST234,Rockford,Illinois,61107,Central,Standard,2013-01-01
ST235,Romeoville Central Store ST235,Romeoville,Illinois,60441,Central,Large,2013-01-01
ST236,Saint Charles Central Store ST236,Saint Charles,Illinois,60174,Central,Standard,2013-01-01
ST237,Skokie Central Store ST237,Skokie,Illinois,60076,Central,Standard,2013-01-01
ST238,Tinley Park Central Store ST238,Tinley Park,Illinois,60477,Central,Large,2013-01-01
ST239,Wheeling Central Store ST239,Wheeling,Illinois,60090,Central,Standard,2013-01-01
ST240,Woodstock Central Store ST240,Woodstock,Illinois,60098,Central,Standard,2013-01-01
ST241,Bloomington Central Store ST241,Bloomington,Indiana,47401,Central,Flagship,2013-01-01
ST242,Columbus Central Store ST242,Columbus,Indiana,47201,Central,Standard,2013-01-01
ST243,Elkhart Central Store ST243,Elkhart,Indiana,46514,Central,Standard,2013-01-01
ST244,Greenwood Central Store ST244,Greenwood,Indiana,46142,Central,Large,2013-01-01
ST245,Indianapolis Central Store ST245,Indianapolis,Indiana,46203,Central,Standard,2013-01-01
ST246,La Porte Central Store ST246,La Porte,Indiana,46350,Central,Standard,2013-01-01
ST247,Lafayette Central Store ST247,Lafayette,Indiana,47905,Central,Large,2013-01-01
ST248,Lawrence Central Store ST248,Lawrence,Indiana,46226,Central,Standard,2013-01-01
ST249,Mishawaka Central Store ST249,Mishawaka,Indiana,46544,Central,Standard,2013-01-01
ST250,New Albany Central Store ST250,New Albany,Indiana,47150,Central,Large,2013-01-01
ST251,New Castle Central Store ST251,New Castle,Indiana,47362,Central,Flagship,2013-01-01
ST252,Noblesville Central Store ST252,Noblesville,Indiana,46060,Central,Standard,2013-01-01
ST253,Portage Central Store ST253,Portage,Indiana,46368,Central,Large,2013-01-01
ST254,Richmond Central Store ST254,Richmond,Indiana,47374,Central,Standard,2013-01-01
ST255,South Bend Central Store ST255,South Bend,Indiana,46614,Central,Standard,2013-01-01
ST256,Burlington Central Store ST256,Burlington,Iowa,52601,Central,Large,2013-01-01
ST257,Cedar Rapids Central Store ST257,Cedar Rapids,Iowa,52402,Central,Standard,2013-01-01
ST258,Des Moines Central Store ST258,Des Moines,Iowa,50315,Central,Standard,2013-01-01
ST259,Dubuque Central Store ST259,Dubuque,Iowa,52001,Central,Large,2013-01-01
ST260,Iowa City Central Store ST260,Iowa City,Iowa,52240,Central,Standard,2013-01-01
ST261,Marion Central Store ST261,Marion,Iowa,52302,Central,Flagship,2013-01-01
ST262,Urbandale Central Store ST262,Urbandale,Iowa,50322,Central,Large,2013-01-01
ST263,Waterloo Central Store ST263,Waterloo,Iowa,50701,Central,Standard,2013-01-01
ST264,Garden City Central Store ST264,Garden City,Kansas,67846,Central,Standard,2013-01-01
ST265,Manhattan Central Store ST265,Manhattan,Kansas,66502,Central,Large,2013-01-01
ST266,Olathe Central Store ST266,Olathe,Kansas,66062,Central,Standard,2013-01-01
ST267,Overland Park Central Store ST267,Overland Park,Kansas,66212,Central,Standard,2013-01-01
ST268,Wichita Central Store ST268,Wichita,Kansas,67212,Central,Large,2013-01-01
ST269,Bowling Green South Store ST269,Bowling Green,Kentucky,42104,South,Standard,2013-01-01
ST270,Florence South Store ST270,Florence,Kentucky,41042,South,Standard,2013-01-01
ST271,Georgetown South Store ST271,Georgetown,Kentucky,40324,South,Flagship,2013-01-01
ST272,Henderson South Store ST272,Henderson,Kentucky,42420,South,Standard,2013-01-01
ST273,Louisville South Store ST273,Louisville,Kentucky,40214,South,Standard,2013-01-01
ST274,Murray South Store ST274,Murray,Kentucky,42071,South,Large,2013-01-01
ST275,Owensboro South Store ST275,Owensboro,Kentucky,42301,South,Standard,2013-01-01
ST276,Richmond South Store ST276,Richmond,Kentucky,40475,South,Standard,2013-01-01
ST277,Bossier City South Store ST277,Bossier City,Louisiana,71111,South,Large,2013-01-01
ST278,Kenner South Store ST278,Kenner,Louisiana,70065,South,Standard,2013-01-01
ST279,Lafayette South Store ST279,Lafayette,Louisiana,70506,South,Standard,2013-01-01
ST280,Lake Charles South Store ST280,Lake Charles,Louisiana,70601,South,Large,2013-01-01
ST281,Monroe South Store ST281,Monroe,Louisiana,71203,South,Flagship,2013-01-01
ST282,Bangor East Store ST282,Bangor,Maine,4401,East,Standard,2013-01-01
ST283,Lewiston East Store ST283,Lewiston,Maine,4240,East,Large,2013-01-01
ST284,Baltimore East Store ST284,Baltimore,Maryland,21215,East,Standard,2013-01-01
ST285,Clinton East Store ST285,Clinton,Maryland,20735,East,Standard,2013-01-01
ST286,Columbia East Store ST286,Columbia,Maryland,21044,East,Large,2013-01-01
ST287,Gaithersburg East Store ST287,Gaithersburg,Maryland,20877,East,Standard,2013-01-01
ST288,Hagerstown East Store ST288,Hagerstown,Maryland,21740,East,Standard,2013-01-01
ST289,Laurel East Store ST289,Laurel,Maryland,20707,East,Large,2013-01-01
ST290,Rockville East Store ST290,Rockville,Maryland,20852,East,Standard,2013-01-01
ST291,Andover East Store ST291,Andover,Massachusetts,1810,East,Flagship,2013-01-01
ST292,Beverly East Store ST292,Beverly,Massachusetts,1915,East,Large,2013-01-01
ST293,Cambridge East Store ST293,Cambridge,Massachusetts,2138,East,Standard,2013-01-01
ST294,Everett East Store ST294,Everett,Massachusetts,2149,East,Standard,2013-01-01
ST295,Franklin East Store ST295,Franklin,Massachusetts,2038,East,Large,2013-01-01
ST296,Holyoke East Store ST296,Holyoke,Massachusetts,1040,East,Standard,2013-01-01
ST297,Lawrence East Store ST297,Lawrence,Massachusetts,1841,East,Standard,2013-01-01
ST298,Leominster East Store ST298,Leominster,Massachusetts,1453,East,Large,2013-01-01
ST299,Lowell East Store ST299,Lowell,Massachusetts,1852,East,Standard,2013-01-01
ST300,Malden East Store ST300,Malden,Massachusetts,2148,East,Standard,2013-01-01
ST301,Marlborough East Store ST301,Marlborough,Massachusetts,1752,East,Flagship,2013-01-01
ST302,New Bedford East Store ST302,New Bedford,Massachusetts,2740,East,Standard,2013-01-01
ST303,Quincy East Store ST303,Quincy,Massachusetts,2169,East,Standard,2013-01-01
ST304,Revere East Store ST304,Revere,Massachusetts,2151,East,Large,2013-01-01
ST305,Ann Arbor Central Store ST305,Ann Arbor,Michigan,48104,Central,Standard,2013-01-01
ST306,Canton Central Store ST306,Canton,Michigan,48187,Central,Standard,2013-01-01
ST307,Dearborn Central Store ST307,Dearborn,Michigan,48126,Central,Large,2013-01-01
ST308,Dearborn Heights Central Store ST308,Dearborn Heights,Michigan,48127,Central,Standard,2013-01-01
ST309,Detroit Central Store ST309,Detroit,Michigan,48227,Central,Standard,2013-01-01
ST310,Detroit Central Store ST310,Detroit,Michigan,48234,Central,Large,2013-01-01
ST311,Detroit Central Store ST311,Detroit,Michigan,48205,Central,Flagship,2013-01-01
ST312,Grand Rapids Central Store ST312,Grand Rapids,Michigan,49505,Central,Standard,2013-01-01
ST313,Holland Central Store ST313,Holland,Michigan,49423,Central,Large,2013-01-01
ST314,Jackson Central Store ST314,Jackson,Michigan,49201,Central,Standard,2013-01-01
ST315,Lansing Central Store ST315,Lansing,Michigan,48911,Central,Standard,2013-01-01
ST316,Lincoln Park Central Store ST316,Lincoln Park,Michigan,48146,Central,Large,2013-01-01
ST317,Midland Central Store ST317,Midland,Michigan,48640,Central,Standard,2013-01-01
ST318,Mount Pleasant Central Store ST318,Mount Pleasant,Michigan,48858,Central,Standard,2013-01-01
ST319,Oak Park Central Store ST319,Oak Park,Michigan,48237,Central,Large,2013-01-01
ST320,Rochester Hills Central Store ST320,Rochester Hills,Michigan,48307,Central,Standard,2013-01-01
ST321,Roseville Central Store ST321,Roseville,Michigan,48066,Central,Flagship,2013-01-01
ST322,Royal Oak Central Store ST322,Royal Oak,Michigan,48073,Central,Large,2013-01-01
ST323,Saginaw Central Store ST323,Saginaw,Michigan,48601,Central,Standard,2013-01-01
ST324,Sterling Heights Central Store ST324,Sterling Heights,Michigan,48310,Central,Standard,2013-01-01
ST325,Taylor Central Store ST325,Taylor,Michigan,48180,Central,Large,2013-01-01
ST326,Trenton Central Store ST326,Trenton,Michigan,48183,Central,Standard,2013-01-01
ST327,Westland Central Store ST327,Westland,Michigan,48185,Central,Standard,2013-01-01
ST328,Apple Valley Central Store ST328,Apple Valley,Minnesota,55124,Central,Large,2013-01-01
ST329,Coon Rapids Central Store ST329,Coon Rapids,Minnesota,55433,Central,Standard,2013-01-01
