invoice_id,supplier_id,store_id,invoice_date,received_date,processed_date,invoice_amount,expected_amount,status,assigned_employee,processing_tat_days,discrepancy_amount,absolute_discrepancy,sla_breach
INV000030,SUP002,ST088,2014-01-05,2014-01-13,2014-01-19,176.04,176.04,Processed Late,EMP017,6,0.0,0.0,True
INV000031,SUP009,ST129,2014-01-05,2014-01-10,2014-01-12,732.44,732.44,Processed,EMP016,2,0.0,0.0,False
INV000032,SUP003,ST272,2014-01-05,2014-01-11,2014-01-14,29.75,29.75,Processed,EMP009,3,0.0,0.0,False
INV000033,SUP015,ST553,2014-01-05,2014-01-13,2014-01-14,48.3,48.3,Processed,EMP001,1,0.0,0.0,False
INV000034,SUP011,ST383,2014-01-05,2014-01-12,2014-01-17,43.23,43.23,Processed Late,EMP030,5,0.0,0.0,True
INV000035,SUP004,ST066,2014-01-05,2014-01-13,2014-01-15,210.72,210.72,Processed,EMP020,2,0.0,0.0,False
INV000036,SUP010,ST226,2014-01-05,2014-01-09,2014-01-15,48.4,48.4,Processed Late,EMP017,6,0.0,0.0,True
INV000037,SUP015,ST033,2014-01-05,2014-01-08,2014-01-09,320.01,320.01,Processed,EMP029,1,0.0,0.0,False
INV000038,SUP011,ST498,2014-01-05,2014-01-10,2014-01-15,2130.84,2130.84,Processed Late,EMP010,5,0.0,0.0,True
INV000039,SUP015,ST585,2014-01-05,2014-01-09,2014-01-16,558.15,526.32,Pending / Delayed,EMP006,7,31.83,31.83,True
INV000040,SUP013,ST417,2014-01-05,2014-01-13,2014-01-16,568.44,568.44,Processed,EMP025,3,0.0,0.0,False
INV000041,SUP006,ST434,2014-01-05,2014-01-09,2014-01-12,8.3,8.3,Processed,EMP003,3,0.0,0.0,False
INV000042,SUP011,ST101,2014-01-05,2014-01-09,2014-01-14,490.17,490.17,Processed Late,EMP012,5,0.0,0.0,True
INV000043,SUP002,ST255,2014-01-05,2014-01-09,2014-01-15,46.32,46.32,Processed Late,EMP028,6,0.0,0.0,True
INV000044,SUP007,ST188,2014-01-05,2014-01-09,2014-01-12,1726.15,1726.15,Processed,EMP026,3,0.0,0.0,False
INV000045,SUP002,ST454,2014-01-05,2014-01-13,2014-01-18,296.28,296.28,Processed Late,EMP024,5,0.0,0.0,True
INV000046,SUP009,ST016,2014-01-05,2014-01-08,2014-01-09,5.88,5.88,Processed,EMP017,1,0.0,0.0,False
INV000047,SUP008,ST493,2014-01-05,2014-01-12,2014-01-13,11.25,11.25,Processed,EMP002,1,0.0,0.0,False
INV000048,SUP003,ST389,2014-01-05,2014-01-08,2014-01-09,396.2,396.2,Processed,EMP016,1,0.0,0.0,False
INV000049,SUP013,ST466,2014-01-05,2014-01-08,2014-01-09,554.7,554.7,Processed,EMP027,1,0.0,0.0,False
INV000050,SUP008,ST159,2014-01-05,2014-01-10,2014-01-11,57.0,57.0,Processed,EMP015,1,0.0,0.0,False
INV000051,SUP010,ST556,2014-01-05,2014-01-13,2014-01-15,2232.64,2232.64,Processed,EMP018,2,0.0,0.0,False
INV000052,SUP010,ST489,2014-01-05,2014-01-09,2014-01-13,28.92,28.92,Processed Late,EMP025,4,0.0,0.0,True
INV000053,SUP009,ST083,2014-01-05,2014-01-08,2014-01-10,104.85,106.02,Processed,EMP021,2,-1.17,1.17,False
INV000054,SUP004,ST414,2014-01-05,2014-01-13,2014-01-14,225.81,220.4,Processed,EMP029,1,5.41,5.41,False
INV000055,SUP001,ST084,2014-01-05,2014-01-11,2014-01-15,14.22,14.22,Processed Late,EMP011,4,0.0,0.0,True
INV000056,SUP006,ST268,2014-01-05,2014-01-09,2014-01-10,67.0,67.0,Processed,EMP005,1,0.0,0.0,False
INV000057,SUP007,ST135,2014-01-05,2014-01-11,2014-01-12,38.28,38.28,Processed,EMP014,1,0.0,0.0,False
INV000058,SUP015,ST075,2014-01-05,2014-01-11,2014-01-15,220.8,220.8,Processed Late,EMP019,4,0.0,0.0,True
INV000059,SUP002,ST551,2014-01-05,2014-01-08,2014-01-09,169.8,169.8,Processed,EMP012,1,0.0,0.0,False
INV000060,SUP006,ST071,2014-01-05,2014-01-08,2014-01-12,31.2,31.2,Processed Late,EMP009,4,0.0,0.0,True
INV000061,SUP014,ST557,2014-01-05,2014-01-11,2014-01-13,31.79,31.79,Processed,EMP021,2,0.0,0.0,False
INV000062,SUP014,ST568,2014-01-05,2014-01-08,2014-01-10,2721.96,2721.96,Processed,EMP015,2,0.0,0.0,False
INV000063,SUP003,ST271,2014-01-05,2014-01-10,2014-01-15,6.65,6.65,Processed Late,EMP003,5,0.0,0.0,True
INV000064,SUP005,ST620,2014-01-05,2014-01-11,2014-01-17,32.3,32.3,Processed Late,EMP005,6,0.0,0.0,True
INV000065,SUP011,ST271,2014-01-05,2014-01-13,2014-01-15,21.6,21.6,Processed,EMP026,2,0.0,0.0,False
INV000066,SUP014,ST053,2014-01-05,2014-01-09,2014-01-12,3972.6,3972.6,Processed,EMP018,3,0.0,0.0,False
INV000067,SUP001,ST004,2014-01-05,2014-01-08,2014-01-11,169.35,169.35,Processed,EMP009,3,0.0,0.0,False
INV000068,SUP005,ST166,2014-01-05,2014-01-11,2014-01-15,48.12,48.12,Processed Late,EMP001,4,0.0,0.0,True
INV000069,SUP002,ST078,2014-01-05,2014-01-08,2014-01-09,43.5,43.5,Processed,EMP020,1,0.0,0.0,False
INV000070,SUP010,ST566,2014-01-05,2014-01-08,2014-01-12,41.46,41.46,Processed Late,EMP022,4,0.0,0.0,True
INV000071,SUP006,ST041,2014-01-05,2014-01-11,2014-01-15,11.4,11.4,Processed Late,EMP012,4,0.0,0.0,True
INV000072,SUP006,ST574,2014-01-05,2014-01-12,2014-01-14,17.28,17.28,Processed,EMP013,2,0.0,0.0,False
INV000073,SUP004,ST167,2014-01-05,2014-01-13,2014-01-15,132.66,132.66,Processed,EMP023,2,0.0,0.0,False
INV000074,SUP015,ST341,2014-01-05,2014-01-09,2014-01-11,14.3,14.3,Processed,EMP001,2,0.0,0.0,False
INV000075,SUP013,ST111,2014-01-05,2014-01-11,2014-01-13,66.6,66.6,Processed,EMP022,2,0.0,0.0,False
INV000076,SUP004,ST205,2014-01-05,2014-01-10,2014-01-17,92.55,92.55,Pending / Delayed,EMP016,7,0.0,0.0,True
INV000077,SUP014,ST234,2014-01-05,2014-01-11,2014-01-12,261.91,261.91,Processed,EMP010,1,0.0,0.0,False
INV000078,SUP005,ST072,2014-01-05,2014-01-08,2014-01-09,219.68,219.68,Processed,EMP003,1,0.0,0.0,False
INV000079,SUP014,ST550,2014-01-05,2014-01-10,2014-01-15,243.54,243.54,Processed Late,EMP019,5,0.0,0.0,True
INV000080,SUP005,ST183,2014-01-05,2014-01-10,2014-01-16,44.8,44.8,Processed Late,EMP023,6,0.0,0.0,True
INV000081,SUP007,ST354,2014-01-20,2014-01-25,2014-02-06,5.58,5.58,Pending / Delayed,EMP015,12,0.0,0.0,True
INV000082,SUP015,ST591,2014-01-20,2014-01-27,2014-01-30,97.78,93.06,Processed,EMP007,3,4.72,4.72,False
INV000083,SUP001,ST533,2014-01-20,2014-01-23,2014-01-24,286.23,286.23,Processed,EMP025,1,0.0,0.0,False
INV000084,SUP002,ST339,2014-01-20,2014-01-23,2014-01-25,80.88,80.88,Processed,EMP013,2,0.0,0.0,False
INV000085,SUP005,ST520,2014-01-20,2014-01-27,2014-01-30,70.05,70.05,Processed,EMP029,3,0.0,0.0,False
INV000086,SUP012,ST303,2014-01-20,2014-01-28,2014-01-30,1725.75,1725.75,Processed,EMP022,2,0.0,0.0,False
INV000087,SUP007,ST179,2014-01-20,2014-01-23,2014-01-24,178.27,180.48,Processed,EMP012,1,-2.21,2.21,False
INV000088,SUP014,ST001,2014-01-20,2014-01-25,2014-01-27,480.37,480.37,Processed,EMP013,2,0.0,0.0,False
INV000089,SUP010,ST622,2014-01-20,2014-01-24,2014-01-26,235.68,235.68,Processed,EMP028,2,0.0,0.0,False
INV000090,SUP004,ST524,2014-01-20,2014-01-27,2014-01-31,545.35,585.12,Processed Late,EMP028,4,-39.77,39.77,True
INV000091,SUP005,ST528,2014-01-20,2014-01-27,2014-01-29,22.27,22.75,Processed,EMP018,2,-0.48,0.48,False
INV000092,SUP013,ST241,2014-01-20,2014-01-24,2014-01-31,13.42,13.72,Pending / Delayed,EMP001,7,-0.3,0.3,True
INV000093,SUP001,ST251,2014-01-20,2014-01-25,2014-01-26,65.76,65.76,Processed,EMP028,1,0.0,0.0,False
INV000094,SUP015,ST590,2014-01-20,2014-01-25,2014-01-30,9.92,9.92,Processed Late,EMP019,5,0.0,0.0,True
INV000095,SUP004,ST152,2014-01-20,2014-01-27,2014-02-04,1714.86,1714.86,Pending / Delayed,EMP022,8,0.0,0.0,True
INV000096,SUP004,ST181,2014-01-20,2014-01-24,2014-01-29,10.3,10.3,Processed Late,EMP021,5,0.0,0.0,True
INV000097,SUP015,ST125,2014-01-20,2014-01-23,2014-02-02,199.5,199.5,Pending / Delayed,EMP019,10,0.0,0.0,True
INV000098,SUP009,ST610,2014-01-20,2014-01-28,2014-02-02,46.4,46.4,Processed Late,EMP012,5,0.0,0.0,True
INV000099,SUP012,ST517,2014-01-20,2014-01-24,2014-01-25,24.64,24.64,Processed,EMP006,1,0.0,0.0,False
INV000100,SUP003,ST487,2014-01-20,2014-01-26,2014-01-31,1355.46,1355.46,Processed Late,EMP024,5,0.0,0.0,True
INV000101,SUP005,ST534,2014-01-20,2014-01-25,2014-01-29,1130.22,1130.22,Processed Late,EMP010,4,0.0,0.0,True
INV000102,SUP002,ST293,2014-01-20,2014-01-24,2014-01-25,39.54,41.58,Processed,EMP021,1,-2.04,2.04,False
INV000103,SUP009,ST083,2014-01-20,2014-01-25,2014-01-28,114.6,114.6,Processed,EMP026,3,0.0,0.0,False
INV000104,SUP003,ST220,2014-01-20,2014-01-27,2014-01-29,55.8,55.8,Processed,EMP029,2,0.0,0.0,False
INV000105,SUP008,ST426,2014-01-20,2014-01-24,2014-01-31,184.95,184.95,Pending / Delayed,EMP028,7,0.0,0.0,True
INV000106,SUP013,ST599,2014-01-20,2014-01-23,2014-01-25,115.05,115.05,Processed,EMP024,2,0.0,0.0,False
INV000107,SUP001,ST361,2014-01-20,2014-01-26,2014-01-28,65.8,65.8,Processed,EMP024,2,0.0,0.0,False
INV000108,SUP014,ST430,2014-01-20,2014-01-27,2014-01-29,1036.0,1036.0,Processed,EMP023,2,0.0,0.0,False
INV000109,SUP015,ST226,2014-01-20,2014-01-23,2014-01-29,1691.0,1691.0,Processed Late,EMP027,6,0.0,0.0,True
INV000110,SUP001,ST399,2014-01-20,2014-01-28,2014-02-01,1206.8,1206.8,Processed Late,EMP021,4,0.0,0.0,True
INV000111,SUP014,ST479,2014-01-20,2014-01-25,2014-02-03,43.26,43.26,Pending / Delayed,EMP013,9,0.0,0.0,True
INV000112,SUP007,ST607,2014-01-20,2014-01-27,2014-02-02,58.52,58.52,Processed Late,EMP022,6,0.0,0.0,True
INV000113,SUP007,ST139,2014-01-20,2014-01-25,2014-01-30,31.08,31.08,Processed Late,EMP003,5,0.0,0.0,True
INV000114,SUP006,ST217,2014-01-20,2014-01-26,2014-01-27,393.24,393.24,Processed,EMP020,1,0.0,0.0,False
INV000115,SUP007,ST285,2014-01-20,2014-01-26,2014-01-29,2735.16,2735.16,Processed,EMP022,3,0.0,0.0,False
INV000116,SUP012,ST553,2014-01-20,2014-01-24,2014-01-27,10.68,10.68,Processed,EMP025,3,0.0,0.0,False
INV000117,SUP013,ST042,2014-01-20,2014-01-23,2014-01-26,98.55,98.55,Processed,EMP016,3,0.0,0.0,False
INV000118,SUP010,ST157,2014-01-20,2014-01-27,2014-01-29,20.48,20.48,Processed,EMP004,2,0.0,0.0,False
INV000119,SUP010,ST224,2014-01-20,2014-01-28,2014-01-31,1884.11,1884.11,Processed,EMP008,3,0.0,0.0,False
INV000120,SUP003,ST621,2014-01-20,2014-01-24,2014-01-27,31.1,31.1,Processed,EMP006,3,0.0,0.0,False
INV000121,SUP003,ST319,2014-01-20,2014-01-28,2014-01-29,73.3,73.3,Processed,EMP012,1,0.0,0.0,False
INV000122,SUP010,ST385,2014-01-20,2014-01-28,2014-02-01,2.94,2.94,Processed Late,EMP026,4,0.0,0.0,True
INV000123,SUP012,ST249,2014-01-20,2014-01-23,2014-01-24,221.09,205.2,Processed,EMP019,1,15.89,15.89,False
INV000124,SUP010,ST124,2014-01-20,2014-01-26,2014-01-27,90.31,90.31,Processed,EMP008,1,0.0,0.0,False
INV000125,SUP007,ST380,2014-01-20,2014-01-28,2014-01-29,4.62,4.62,Processed,EMP006,1,0.0,0.0,False
INV000126,SUP007,ST502,2014-01-20,2014-01-24,2014-01-25,1475.4,1475.4,Processed,EMP026,1,0.0,0.0,False
INV000127,SUP014,ST471,2014-01-20,2014-01-26,2014-02-01,339.43,339.43,Processed Late,EMP023,6,0.0,0.0,True
INV000128,SUP011,ST277,2014-01-20,2014-01-27,2014-01-28,32.27,32.27,Processed,EMP009,1,0.0,0.0,False
INV000129,SUP008,ST447,2014-01-20,2014-01-26,2014-01-29,432.82,432.82,Processed,EMP008,3,0.0,0.0,False
INV000130,SUP014,ST089,2014-01-20,2014-01-27,2014-02-06,1213.68,1213.68,Pending / Delayed,EMP016,10,0.0,0.0,True
INV000131,SUP010,ST625,2014-01-20,2014-01-27,2014-02-01,76.59,76.59,Processed Late,EMP004,5,0.0,0.0,True
INV000132,SUP006,ST187,2014-01-20,2014-01-27,2014-01-29,7.98,7.98,Processed,EMP009,2,0.0,0.0,False
INV000133,SUP006,ST287,2014-01-20,2014-01-26,2014-01-29,2303.99,2303.99,Processed,EMP008,3,0.0,0.0,False
INV000134,SUP009,ST196,2014-01-20,2014-01-25,2014-01-28,457.3,457.3,Processed,EMP006,3,0.0,0.0,False
INV000135,SUP013,ST247,2014-01-20,2014-01-24,2014-01-26,39.3,39.3,Processed,EMP005,2,0.0,0.0,False
INV000136,SUP001,ST096,2014-01-20,2014-01-24,2014-01-27,150.62,150.62,Processed,EMP029,3,0.0,0.0,False
INV000137,SUP005,ST596,2014-01-20,2014-01-23,2014-01-26,1294.44,1294.44,Processed,EMP004,3,0.0,0.0,False
INV000138,SUP007,ST564,2014-01-20,2014-01-24,2014-01-26,1919.57,1919.57,Processed,EMP003,2,0.0,0.0,False
INV000139,SUP005,ST237,2014-01-20,2014-01-25,2014-01-26,1391.04,1391.04,Processed,EMP013,1,0.0,0.0,False
INV000140,SUP012,ST549,2014-01-20,2014-01-26,2014-02-01,25.44,25.44,Processed Late,EMP010,6,0.0,0.0,True
INV000141,SUP005,ST604,2014-01-20,2014-01-23,2014-01-28,254.8,254.8,Processed Late,EMP022,5,0.0,0.0,True
INV000142,SUP014,ST199,2014-01-20,2014-01-26,2014-01-31,299.19,306.46,Processed Late,EMP011,5,-7.27,7.27,True
INV000143,SUP001,ST547,2014-01-20,2014-01-27,2014-01-30,72.67,72.67,Processed,EMP011,3,0.0,0.0,False
INV000144,SUP009,ST300,2014-01-20,2014-01-24,2014-01-26,343.68,343.68,Processed,EMP021,2,0.0,0.0,False
INV000145,SUP001,ST588,2014-01-20,2014-01-23,2014-01-28,233.92,233.92,Processed Late,EMP021,5,0.0,0.0,True
INV000146,SUP003,ST053,2014-01-20,2014-01-28,2014-01-29,57.8,57.8,Processed,EMP015,1,0.0,0.0,False
INV000147,SUP002,ST411,2014-01-20,2014-01-27,2014-02-07,75.82,75.82,Pending / Delayed,EMP017,11,0.0,0.0,True
INV000148,SUP001,ST156,2014-01-20,2014-01-27,2014-01-29,702.2,702.2,Processed,EMP003,2,0.0,0.0,False
INV000149,SUP002,ST255,2014-01-20,2014-01-24,2014-01-26,228.6,228.6,Processed,EMP025,2,0.0,0.0,False
INV000150,SUP013,ST232,2014-01-20,2014-01-26,2014-01-28,309.9,309.9,Processed,EMP028,2,0.0,0.0,False
INV000151,SUP005,ST603,2014-01-20,2014-01-26,2014-02-05,741.6,741.6,Pending / Delayed,EMP007,10,0.0,0.0,True
INV000152,SUP010,ST102,2014-01-20,2014-01-25,2014-01-28,5226.6,5226.6,Processed,EMP002,3,0.0,0.0,False
INV000153,SUP002,ST161,2014-01-20,2014-01-27,2014-01-28,21.62,20.16,Processed,EMP009,1,1.46,1.46,False
INV000154,SUP001,ST419,2014-01-20,2014-01-28,2014-01-29,86.47,93.48,Processed,EMP024,1,-7.01,7.01,False
INV000155,SUP004,ST296,2014-01-20,2014-01-27,2014-01-30,437.58,437.58,Processed,EMP015,3,0.0,0.0,False
INV000156,SUP004,ST271,2014-01-20,2014-01-23,2014-01-26,2030.56,2030.56,Processed,EMP008,3,0.0,0.0,False
INV000157,SUP009,ST231,2014-01-20,2014-01-25,2014-01-28,220.88,220.88,Processed,EMP009,3,0.0,0.0,False
INV000158,SUP003,ST315,2014-01-20,2014-01-28,2014-02-01,100.08,100.08,Processed Late,EMP023,4,0.0,0.0,True
INV000159,SUP008,ST128,2014-01-20,2014-01-25,2014-01-27,1044.6,1044.6,Processed,EMP024,2,0.0,0.0,False
INV000160,SUP005,ST513,2014-01-20,2014-01-27,2014-02-06,573.54,573.54,Pending / Delayed,EMP019,10,0.0,0.0,True
INV000161,SUP001,ST443,2014-02-05,2014-02-13,2014-02-16,1027.04,1027.04,Processed,EMP026,3,0.0,0.0,False
INV000162,SUP004,ST590,2014-02-05,2014-02-09,2014-02-15,23.6,23.6,Processed Late,EMP006,6,0.0,0.0,True
INV000163,SUP013,ST180,2014-02-05,2014-02-12,2014-02-18,48.3,48.3,Processed Late,EMP025,6,0.0,0.0,True
INV000164,SUP003,ST600,2014-02-05,2014-02-08,2014-02-10,32.48,32.48,Processed,EMP021,2,0.0,0.0,False
INV000165,SUP008,ST357,2014-02-05,2014-02-08,2014-02-10,1191.36,1191.36,Processed,EMP016,2,0.0,0.0,False
INV000166,SUP014,ST165,2014-02-05,2014-02-11,2014-02-23,357.96,357.96,Pending / Delayed,EMP025,12,0.0,0.0,True
INV000167,SUP007,ST564,2014-02-05,2014-02-11,2014-02-14,1628.09,1628.09,Processed,EMP004,3,0.0,0.0,False
INV000168,SUP006,ST119,2014-02-05,2014-02-12,2014-02-15,393.52,393.52,Processed,EMP003,3,0.0,0.0,False
INV000169,SUP001,ST556,2014-02-05,2014-02-11,2014-02-17,64.62,64.62,Processed Late,EMP023,6,0.0,0.0,True
INV000170,SUP006,ST511,2014-02-05,2014-02-10,2014-02-11,671.07,671.07,Processed,EMP007,1,0.0,0.0,False
INV000171,SUP009,ST135,2014-02-05,2014-02-10,2014-02-12,2.88,2.88,Processed,EMP023,2,0.0,0.0,False
INV000172,SUP011,ST624,2014-02-05,2014-02-12,2014-02-13,3515.6,3515.6,Processed,EMP007,1,0.0,0.0,False
INV000173,SUP001,ST566,2014-02-05,2014-02-11,2014-02-12,175.56,175.56,Processed,EMP006,1,0.0,0.0,False
INV000174,SUP015,ST117,2014-02-05,2014-02-10,2014-02-13,80.28,80.28,Processed,EMP007,3,0.0,0.0,False
INV000175,SUP012,ST299,2014-02-05,2014-02-13,2014-02-16,31.02,31.02,Processed,EMP003,3,0.0,0.0,False
INV000176,SUP008,ST484,2014-02-05,2014-02-09,2014-02-10,521.02,503.3,Processed,EMP029,1,17.72,17.72,False
INV000177,SUP004,ST614,2014-02-05,2014-02-13,2014-02-18,60.8,60.8,Processed Late,EMP020,5,0.0,0.0,True
INV000178,SUP005,ST425,2014-02-05,2014-02-08,2014-02-13,187.58,196.32,Processed Late,EMP012,5,-8.74,8.74,True
INV000179,SUP001,ST290,2014-02-05,2014-02-13,2014-02-16,33.48,33.48,Processed,EMP022,3,0.0,0.0,False
INV000180,SUP011,ST502,2014-02-05,2014-02-10,2014-02-15,4010.6,4010.6,Processed Late,EMP021,5,0.0,0.0,True
INV000181,SUP006,ST566,2014-02-05,2014-02-10,2014-02-12,140.22,140.22,Processed,EMP021,2,0.0,0.0,False
INV000182,SUP014,ST194,2014-02-05,2014-02-09,2014-02-10,124.96,124.96,Processed,EMP006,1,0.0,0.0,False
INV000183,SUP013,ST421,2014-02-05,2014-02-13,2014-02-17,249.9,249.9,Processed Late,EMP021,4,0.0,0.0,True
INV000184,SUP013,ST391,2014-02-05,2014-02-09,2014-02-12,252.11,252.11,Processed,EMP005,3,0.0,0.0,False
INV000185,SUP001,ST130,2014-02-05,2014-02-12,2014-02-14,1548.12,1548.12,Processed,EMP030,2,0.0,0.0,False
INV000186,SUP014,ST451,2014-02-05,2014-02-08,2014-02-10,40.32,40.32,Processed,EMP024,2,0.0,0.0,False
INV000187,SUP003,ST420,2014-02-05,2014-02-09,2014-02-13,30.4,30.4,Processed Late,EMP016,4,0.0,0.0,True
INV000188,SUP005,ST347,2014-02-05,2014-02-10,2014-02-11,1636.93,1762.56,Processed,EMP014,1,-125.63,125.63,False
INV000189,SUP014,ST337,2014-02-05,2014-02-13,2014-02-14,1801.38,1801.38,Processed,EMP016,1,0.0,0.0,False
INV000190,SUP015,ST500,2014-02-05,2014-02-12,2014-02-14,45.96,45.96,Processed,EMP026,2,0.0,0.0,False
INV000191,SUP011,ST295,2014-02-05,2014-02-09,2014-02-11,37.8,37.8,Processed,EMP026,2,0.0,0.0,False
INV000192,SUP002,ST103,2014-02-05,2014-02-08,2014-02-09,11.64,11.64,Processed,EMP026,1,0.0,0.0,False
INV000193,SUP001,ST333,2014-02-05,2014-02-12,2014-02-13,35.09,35.09,Processed,EMP014,1,0.0,0.0,False
INV000194,SUP003,ST251,2014-02-05,2014-02-12,2014-02-13,16.64,16.64,Processed,EMP008,1,0.0,0.0,False
INV000195,SUP003,ST175,2014-02-05,2014-02-08,2014-02-11,29.2,29.2,Processed,EMP020,3,0.0,0.0,False
INV000196,SUP004,ST510,2014-02-05,2014-02-12,2014-02-14,111.3,111.3,Processed,EMP003,2,0.0,0.0,False
INV000197,SUP005,ST471,2014-02-05,2014-02-11,2014-02-13,175.95,175.95,Processed,EMP028,2,0.0,0.0,False
INV000198,SUP008,ST295,2014-02-05,2014-02-10,2014-02-13,7.1,7.1,Processed,EMP021,3,0.0,0.0,False
INV000199,SUP006,ST602,2014-02-05,2014-02-08,2014-02-09,39.0,39.0,Processed,EMP023,1,0.0,0.0,False
INV000200,SUP008,ST310,2014-02-05,2014-02-10,2014-02-11,820.5,820.5,Processed,EMP018,1,0.0,0.0,False
INV000201,SUP007,ST586,2014-02-05,2014-02-12,2014-02-15,1344.1,1460.3,Processed,EMP025,3,-116.2,116.2,False
INV000202,SUP005,ST023,2014-02-05,2014-02-11,2014-02-14,205.92,205.92,Processed,EMP013,3,0.0,0.0,False
INV000203,SUP011,ST051,2014-02-05,2014-02-10,2014-02-13,124.1,124.1,Processed,EMP003,3,0.0,0.0,False
INV000204,SUP015,ST294,2014-02-05,2014-02-09,2014-02-15,3030.42,3030.42,Processed Late,EMP004,6,0.0,0.0,True
INV000205,SUP004,ST257,2014-02-05,2014-02-12,2014-02-22,154.7,154.7,Pending / Delayed,EMP026,10,0.0,0.0,True
INV000206,SUP011,ST041,2014-02-05,2014-02-08,2014-02-10,275.55,275.55,Processed,EMP012,2,0.0,0.0,False
INV000207,SUP006,ST135,2014-02-05,2014-02-09,2014-02-12,2086.65,2204.48,Processed,EMP030,3,-117.83,117.83,False
INV000208,SUP003,ST206,2014-02-05,2014-02-12,2014-02-14,1958.64,1958.64,Processed,EMP027,2,0.0,0.0,False
INV000209,SUP006,ST544,2014-02-05,2014-02-13,2014-02-15,20.52,20.52,Processed,EMP004,2,0.0,0.0,False
INV000210,SUP014,ST494,2014-02-05,2014-02-12,2014-02-15,29.26,29.26,Processed,EMP020,3,0.0,0.0,False
INV000211,SUP008,ST078,2014-02-05,2014-02-08,2014-02-14,114.48,114.48,Processed Late,EMP016,6,0.0,0.0,True
