purchase_id,purchase_date,store_id,supplier_id,product_id,quantity,unit_cost,expected_delivery,actual_delivery,delivery_status,purchase_value
PUR000047,2014-01-05,ST493,SUP008,OFF-AR-10001919,9,1.25,2014-01-09,2014-01-14,Late,11.25
PUR000048,2014-01-05,ST389,SUP003,FUR-FU-10002253,14,28.3,2014-01-08,2014-01-10,Late,396.2
PUR000049,2014-01-05,ST466,SUP013,FUR-BO-10004409,10,55.47,2014-01-10,2014-01-12,Late,554.7
PUR000050,2014-01-05,ST159,SUP008,OFF-PA-10003270,19,3.0,2014-01-09,2014-01-10,Late,57.0
PUR000051,2014-01-05,ST556,SUP010,FUR-TA-10004915,8,279.08,2014-01-08,2014-01-12,Late,2232.64
PUR000052,2014-01-05,ST489,SUP010,OFF-AR-10000614,12,2.41,2014-01-12,2014-01-17,Late,28.92
PUR000053,2014-01-05,ST083,SUP009,OFF-BI-10004965,18,5.89,2014-01-09,2014-01-08,Early,106.02
PUR000054,2014-01-05,ST414,SUP004,FUR-CH-10002647,4,55.1,2014-01-08,2014-01-11,Late,220.4
PUR000055,2014-01-05,ST084,SUP001,OFF-LA-10004409,9,1.58,2014-01-11,2014-01-15,Late,14.22
PUR000056,2014-01-05,ST268,SUP006,OFF-PA-10000232,20,3.35,2014-01-09,2014-01-13,Late,67.0
PUR000057,2014-01-05,ST135,SUP007,OFF-PA-10004100,12,3.19,2014-01-10,2014-01-12,Late,38.28
PUR000058,2014-01-05,ST075,SUP015,FUR-FU-10000758,12,18.4,2014-01-08,2014-01-10,Late,220.79999999999998
PUR000059,2014-01-05,ST551,SUP002,OFF-BI-10002353,20,8.49,2014-01-09,2014-01-12,Late,169.8
PUR000060,2014-01-05,ST071,SUP006,OFF-PA-10003936,10,3.12,2014-01-09,2014-01-10,Late,31.200000000000003
PUR000061,2014-01-05,ST557,SUP014,OFF-BI-10002393,11,2.89,2014-01-10,2014-01-13,Late,31.790000000000003
PUR000062,2014-01-05,ST568,SUP014,FUR-CH-10002335,18,151.22,2014-01-10,2014-01-14,Late,2721.96
PUR000063,2014-01-05,ST271,SUP003,OFF-FA-10003021,5,1.33,2014-01-08,2014-01-07,Early,6.65
PUR000064,2014-01-05,ST620,SUP005,OFF-PA-10002659,19,1.7,2014-01-09,2014-01-13,Late,32.3
PUR000065,2014-01-05,ST271,SUP011,OFF-EN-10004030,12,1.8,2014-01-12,2014-01-14,Late,21.6
PUR000066,2014-01-05,ST053,SUP014,TEC-PH-10001795,10,397.26,2014-01-08,2014-01-12,Late,3972.6
PUR000067,2014-01-05,ST004,SUP001,OFF-PA-10000157,15,11.29,2014-01-10,2014-01-15,Late,169.35
PUR000068,2014-01-05,ST166,SUP005,TEC-MA-10000752,6,8.02,2014-01-11,2014-01-14,Late,48.12
PUR000069,2014-01-05,ST078,SUP002,FUR-FU-10002597,15,2.9,2014-01-09,2014-01-12,Late,43.5
PUR000070,2014-01-05,ST566,SUP010,FUR-FU-10002813,3,13.82,2014-01-09,2014-01-11,Late,41.46
PUR000071,2014-01-05,ST041,SUP006,OFF-SU-10001935,6,1.9,2014-01-10,2014-01-10,On Time,11.399999999999999
PUR000072,2014-01-05,ST574,SUP006,OFF-BI-10001890,9,1.92,2014-01-11,2014-01-14,Late,17.28
PUR000073,2014-01-05,ST167,SUP004,FUR-FU-10004091,6,22.11,2014-01-09,2014-01-11,Late,132.66
PUR000074,2014-01-05,ST341,SUP015,TEC-PH-10000923,2,7.15,2014-01-11,2014-01-16,Late,14.3
PUR000075,2014-01-05,ST111,SUP013,OFF-BI-10000309,9,7.4,2014-01-11,2014-01-16,Late,66.60000000000001
PUR000076,2014-01-05,ST205,SUP004,OFF-ST-10000563,3,30.85,2014-01-11,2014-01-12,Late,92.55000000000001
PUR000077,2014-01-05,ST234,SUP014,TEC-AC-10004469,11,23.81,2014-01-09,2014-01-08,Early,261.90999999999997
PUR000078,2014-01-05,ST072,SUP005,OFF-PA-10001497,8,27.46,2014-01-10,2014-01-11,Late,219.68
PUR000079,2014-01-05,ST550,SUP014,OFF-ST-10001558,18,13.53,2014-01-10,2014-01-09,Early,243.54
PUR000080,2014-01-05,ST183,SUP005,OFF-BI-10000474,5,8.96,2014-01-12,2014-01-13,Late,44.800000000000004
PUR000081,2014-01-20,ST354,SUP007,OFF-BI-10000591,3,1.86,2014-01-25,2014-01-27,Late,5.58
PUR000082,2014-01-20,ST591,SUP015,OFF-BI-10000088,18,5.17,2014-01-24,2014-01-25,Late,93.06
PUR000083,2014-01-20,ST533,SUP001,TEC-PH-10001336,3,95.41,2014-01-27,2014-01-31,Late,286.23
PUR000084,2014-01-20,ST339,SUP002,TEC-PH-10000011,8,10.11,2014-01-27,2014-01-28,Late,80.88
PUR000085,2014-01-20,ST520,SUP005,TEC-AC-10001553,5,14.01,2014-01-25,2014-01-29,Late,70.05
PUR000086,2014-01-20,ST303,SUP012,FUR-CH-10003298,15,115.05,2014-01-27,2014-01-27,On Time,1725.75
PUR000087,2014-01-20,ST179,SUP007,OFF-AP-10003842,8,22.56,2014-01-27,2014-01-30,Late,180.48
PUR000088,2014-01-20,ST001,SUP014,OFF-EN-10003001,11,43.67,2014-01-25,2014-01-26,Late,480.37
PUR000089,2014-01-20,ST622,SUP010,FUR-FU-10000193,8,29.46,2014-01-25,2014-01-27,Late,235.68
PUR000090,2014-01-20,ST524,SUP004,OFF-ST-10003479,16,36.57,2014-01-26,2014-01-31,Late,585.12
PUR000091,2014-01-20,ST528,SUP005,OFF-BI-10001922,7,3.25,2014-01-27,2014-01-28,Late,22.75
PUR000092,2014-01-20,ST241,SUP013,OFF-BI-10003429,4,3.43,2014-01-25,2014-01-25,On Time,13.72
PUR000093,2014-01-20,ST251,SUP001,OFF-ST-10002444,8,8.22,2014-01-26,2014-01-29,Late,65.76
PUR000094,2014-01-20,ST590,SUP015,OFF-LA-10003223,4,2.48,2014-01-24,2014-01-28,Late,9.92
PUR000095,2014-01-20,ST152,SUP004,OFF-AP-10003217,14,122.49,2014-01-23,2014-01-28,Late,1714.86
PUR000096,2014-01-20,ST181,SUP004,OFF-LA-10000248,5,2.06,2014-01-27,2014-01-29,Late,10.3
PUR000097,2014-01-20,ST125,SUP015,FUR-FU-10003192,3,66.5,2014-01-26,2014-01-26,On Time,199.5
PUR000098,2014-01-20,ST610,SUP009,OFF-BI-10003669,16,2.9,2014-01-25,2014-01-30,Late,46.4
PUR000099,2014-01-20,ST517,SUP012,OFF-BI-10004022,16,1.54,2014-01-26,2014-01-31,Late,24.64
PUR000100,2014-01-20,ST487,SUP003,OFF-ST-10000036,19,71.34,2014-01-26,2014-01-27,Late,1355.46
PUR000101,2014-01-20,ST534,SUP005,TEC-PH-10002310,9,125.58,2014-01-26,2014-01-30,Late,1130.22
PUR000102,2014-01-20,ST293,SUP002,OFF-PA-10001509,9,4.62,2014-01-24,2014-01-25,Late,41.58
PUR000103,2014-01-20,ST083,SUP009,OFF-BI-10002498,12,9.55,2014-01-24,2014-01-24,On Time,114.60000000000001
PUR000104,2014-01-20,ST220,SUP003,TEC-AC-10004877,9,6.2,2014-01-23,2014-01-25,Late,55.800000000000004
PUR000105,2014-01-20,ST426,SUP008,OFF-AR-10004042,15,12.33,2014-01-23,2014-01-23,On Time,184.95
PUR000106,2014-01-20,ST599,SUP013,TEC-PH-10003988,15,7.67,2014-01-23,2014-01-28,Late,115.05
PUR000107,2014-01-20,ST361,SUP001,OFF-PA-10004621,20,3.29,2014-01-25,2014-01-30,Late,65.8
PUR000108,2014-01-20,ST430,SUP014,TEC-PH-10000526,14,74.0,2014-01-27,2014-01-31,Late,1036.0
PUR000109,2014-01-20,ST226,SUP015,TEC-PH-10004345,19,89.0,2014-01-26,2014-01-26,On Time,1691.0
PUR000110,2014-01-20,ST399,SUP001,OFF-ST-10000585,10,120.68,2014-01-25,2014-01-29,Late,1206.8000000000002
PUR000111,2014-01-20,ST479,SUP014,OFF-AR-10004511,14,3.09,2014-01-24,2014-01-27,Late,43.26
PUR000112,2014-01-20,ST607,SUP007,OFF-AR-10000716,19,3.08,2014-01-27,2014-01-31,Late,58.52
PUR000113,2014-01-20,ST139,SUP007,FUR-FU-10000758,2,15.54,2014-01-26,2014-01-26,On Time,31.08
PUR000114,2014-01-20,ST217,SUP006,FUR-TA-10001095,3,131.08,2014-01-26,2014-01-27,Late,393.24
PUR000115,2014-01-20,ST285,SUP007,FUR-TA-10002958,12,227.93,2014-01-26,2014-01-27,Late,2735.16
PUR000116,2014-01-20,ST553,SUP012,OFF-LA-10004853,4,2.67,2014-01-23,2014-01-24,Late,10.68
PUR000117,2014-01-20,ST042,SUP013,OFF-AP-10004859,9,10.95,2014-01-23,2014-01-23,On Time,98.55
PUR000118,2014-01-20,ST157,SUP010,OFF-AR-10004441,8,2.56,2014-01-24,2014-01-24,On Time,20.48
PUR000119,2014-01-20,ST224,SUP010,FUR-CH-10004853,17,110.83,2014-01-26,2014-01-30,Late,1884.11
PUR000120,2014-01-20,ST621,SUP003,OFF-PA-10004971,10,3.11,2014-01-27,2014-01-31,Late,31.099999999999998
PUR000121,2014-01-20,ST319,SUP003,OFF-AR-10001955,5,14.66,2014-01-23,2014-01-26,Late,73.3
PUR000122,2014-01-20,ST385,SUP010,OFF-EN-10004846,2,1.47,2014-01-26,2014-01-30,Late,2.94
PUR000123,2014-01-20,ST249,SUP012,OFF-AP-10000326,8,25.65,2014-01-23,2014-01-27,Late,205.2
PUR000124,2014-01-20,ST124,SUP010,OFF-BI-10001107,11,8.21,2014-01-27,2014-02-01,Late,90.31
PUR000125,2014-01-20,ST380,SUP007,OFF-BI-10000145,3,1.54,2014-01-23,2014-01-26,Late,4.62
PUR000126,2014-01-20,ST502,SUP007,FUR-FU-10003806,12,122.95,2014-01-23,2014-01-25,Late,1475.4
PUR000127,2014-01-20,ST471,SUP014,TEC-AC-10001465,13,26.11,2014-01-24,2014-01-26,Late,339.43
PUR000128,2014-01-20,ST277,SUP011,OFF-AR-10001374,7,4.61,2014-01-27,2014-02-01,Late,32.27
PUR000129,2014-01-20,ST447,SUP008,TEC-PH-10004896,19,22.78,2014-01-27,2014-01-28,Late,432.82000000000005
PUR000130,2014-01-20,ST089,SUP014,TEC-PH-10003691,12,101.14,2014-01-25,2014-01-27,Late,1213.68
PUR000131,2014-01-20,ST625,SUP010,OFF-BI-10000069,9,8.51,2014-01-26,2014-01-27,Late,76.59
PUR000132,2014-01-20,ST187,SUP006,OFF-PA-10004082,2,3.99,2014-01-26,2014-01-26,On Time,7.98
PUR000133,2014-01-20,ST287,SUP006,OFF-ST-10001097,13,177.23,2014-01-27,2014-01-31,Late,2303.99
PUR000134,2014-01-20,ST196,SUP009,FUR-BO-10004709,10,45.73,2014-01-23,2014-01-23,On Time,457.29999999999995
PUR000135,2014-01-20,ST247,SUP013,OFF-AR-10003158,15,2.62,2014-01-26,2014-01-30,Late,39.300000000000004
PUR000136,2014-01-20,ST096,SUP001,TEC-AC-10002380,17,8.86,2014-01-25,2014-01-25,On Time,150.62
PUR000137,2014-01-20,ST596,SUP005,OFF-ST-10001526,14,92.46,2014-01-25,2014-01-27,Late,1294.4399999999998
PUR000138,2014-01-20,ST564,SUP007,FUR-BO-10001972,19,101.03,2014-01-25,2014-01-26,Late,1919.57
PUR000139,2014-01-20,ST237,SUP005,OFF-ST-10000676,16,86.94,2014-01-23,2014-01-27,Late,1391.04
PUR000140,2014-01-20,ST549,SUP012,FUR-FU-10000023,8,3.18,2014-01-24,2014-01-24,On Time,25.44
PUR000141,2014-01-20,ST604,SUP005,FUR-FU-10004864,8,31.85,2014-01-27,2014-01-30,Late,254.8
PUR000142,2014-01-20,ST199,SUP014,OFF-ST-10000675,11,27.86,2014-01-25,2014-01-25,On Time,306.46
PUR000143,2014-01-20,ST547,SUP001,OFF-BI-10003166,13,5.59,2014-01-24,2014-01-25,Late,72.67
PUR000144,2014-01-20,ST300,SUP009,FUR-BO-10003159,3,114.56,2014-01-24,2014-01-28,Late,343.68
PUR000145,2014-01-20,ST588,SUP001,OFF-AP-10004532,17,13.76,2014-01-25,2014-01-27,Late,233.92
PUR000146,2014-01-20,ST053,SUP003,OFF-BI-10003350,17,3.4,2014-01-25,2014-01-30,Late,57.8
PUR000147,2014-01-20,ST411,SUP002,FUR-FU-10002508,17,4.46,2014-01-26,2014-01-25,Early,75.82
PUR000148,2014-01-20,ST156,SUP001,OFF-AR-10002135,20,35.11,2014-01-24,2014-01-29,Late,702.2
PUR000149,2014-01-20,ST255,SUP002,OFF-BI-10004308,20,11.43,2014-01-23,2014-01-26,Late,228.6
PUR000150,2014-01-20,ST232,SUP013,OFF-ST-10000798,15,20.66,2014-01-27,2014-01-29,Late,309.9
PUR000151,2014-01-20,ST603,SUP005,TEC-PH-10002262,16,46.35,2014-01-26,2014-01-27,Late,741.6
PUR000152,2014-01-20,ST102,SUP010,FUR-TA-10004915,20,261.33,2014-01-24,2014-01-28,Late,5226.599999999999
PUR000153,2014-01-20,ST161,SUP002,OFF-PA-10002586,8,2.52,2014-01-24,2014-01-24,On Time,20.16
PUR000154,2014-01-20,ST419,SUP001,OFF-LA-10001158,19,4.92,2014-01-26,2014-01-30,Late,93.48
PUR000155,2014-01-20,ST296,SUP004,OFF-BI-10002026,17,25.74,2014-01-25,2014-01-29,Late,437.58
PUR000156,2014-01-20,ST271,SUP004,FUR-CH-10001714,16,126.91,2014-01-27,2014-01-31,Late,2030.56
PUR000157,2014-01-20,ST231,SUP009,OFF-PA-10002120,8,27.61,2014-01-24,2014-01-25,Late,220.88
PUR000158,2014-01-20,ST315,SUP003,FUR-FU-10001185,6,16.68,2014-01-27,2014-01-31,Late,100.08
PUR000159,2014-01-20,ST128,SUP008,TEC-PH-10001700,20,52.23,2014-01-26,2014-01-30,Late,1044.6
PUR000160,2014-01-20,ST513,SUP005,OFF-LA-10003930,11,52.14,2014-01-27,2014-01-29,Late,573.54
PUR000161,2014-02-05,ST443,SUP001,TEC-PH-10001557,16,64.19,2014-02-10,2014-02-13,Late,1027.04
PUR000162,2014-02-05,ST590,SUP004,OFF-BI-10000343,10,2.36,2014-02-12,2014-02-11,Early,23.599999999999998
PUR000163,2014-02-05,ST180,SUP013,OFF-BI-10001553,10,4.83,2014-02-11,2014-02-14,Late,48.3
PUR000164,2014-02-05,ST600,SUP003,FUR-FU-10000320,16,2.03,2014-02-11,2014-02-15,Late,32.48
PUR000165,2014-02-05,ST357,SUP008,OFF-AP-10001391,17,70.08,2014-02-11,2014-02-12,Late,1191.36
PUR000166,2014-02-05,ST165,SUP014,OFF-PA-10001144,12,29.83,2014-02-10,2014-02-12,Late,357.96
PUR000167,2014-02-05,ST564,SUP007,TEC-PH-10000576,17,95.77,2014-02-08,2014-02-10,Late,1628.09
PUR000168,2014-02-05,ST119,SUP006,TEC-PH-10001944,4,98.38,2014-02-11,2014-02-16,Late,393.52
PUR000169,2014-02-05,ST556,SUP001,OFF-PA-10004983,18,3.59,2014-02-11,2014-02-13,Late,64.62
PUR000170,2014-02-05,ST511,SUP006,FUR-TA-10004575,3,223.69,2014-02-11,2014-02-16,Late,671.0699999999999
PUR000171,2014-02-05,ST135,SUP009,OFF-FA-10002988,3,0.96,2014-02-10,2014-02-12,Late,2.88
PUR000172,2014-02-05,ST624,SUP011,FUR-TA-10004154,17,206.8,2014-02-09,2014-02-13,Late,3515.6000000000004
PUR000173,2014-02-05,ST566,SUP001,OFF-ST-10000604,7,25.08,2014-02-11,2014-02-10,Early,175.56
PUR000174,2014-02-05,ST117,SUP015,OFF-PA-10001457,9,8.92,2014-02-11,2014-02-10,Early,80.28
PUR000175,2014-02-05,ST299,SUP012,OFF-PA-10001685,6,5.17,2014-02-12,2014-02-16,Late,31.02
PUR000176,2014-02-05,ST484,SUP008,TEC-AC-10002567,10,50.33,2014-02-09,2014-02-11,Late,503.29999999999995
PUR000177,2014-02-05,ST614,SUP004,OFF-BI-10003350,19,3.2,2014-02-12,2014-02-16,Late,60.800000000000004
PUR000178,2014-02-05,ST425,SUP005,OFF-ST-10002974,6,32.72,2014-02-10,2014-02-15,Late,196.32
PUR000179,2014-02-05,ST290,SUP001,OFF-LA-10000248,18,1.86,2014-02-10,2014-02-15,Late,33.480000000000004
PUR000180,2014-02-05,ST502,SUP011,FUR-TA-10002903,20,200.53,2014-02-09,2014-02-11,Late,4010.6
PUR000181,2014-02-05,ST566,SUP006,OFF-LA-10003923,19,7.38,2014-02-12,2014-02-14,Late,140.22
PUR000182,2014-02-05,ST194,SUP014,FUR-FU-10003731,16,7.81,2014-02-09,2014-02-12,Late,124.96
PUR000183,2014-02-05,ST421,SUP013,OFF-BI-10001670,14,17.85,2014-02-08,2014-02-09,Late,249.90000000000003
PUR000184,2014-02-05,ST391,SUP013,OFF-PA-10003641,17,14.83,2014-02-11,2014-02-15,Late,252.11
PUR000185,2014-02-05,ST130,SUP001,TEC-MA-10001972,6,258.02,2014-02-12,2014-02-15,Late,1548.12
PUR000186,2014-02-05,ST451,SUP014,OFF-AR-10000634,12,3.36,2014-02-08,2014-02-11,Late,40.32
PUR000187,2014-02-05,ST420,SUP003,OFF-BI-10003274,16,1.9,2014-02-09,2014-02-08,Early,30.4
PUR000188,2014-02-05,ST347,SUP005,OFF-ST-10001272,17,103.68,2014-02-12,2014-02-16,Late,1762.5600000000002
PUR000189,2014-02-05,ST337,SUP014,OFF-ST-10001490,14,128.67,2014-02-12,2014-02-14,Late,1801.3799999999999
PUR000190,2014-02-05,ST500,SUP015,OFF-AR-10001761,12,3.83,2014-02-12,2014-02-11,Early,45.96
PUR000191,2014-02-05,ST295,SUP011,OFF-ST-10001590,4,9.45,2014-02-09,2014-02-13,Late,37.8
PUR000192,2014-02-05,ST103,SUP002,OFF-PA-10002160,4,2.91,2014-02-11,2014-02-11,On Time,11.64
PUR000193,2014-02-05,ST333,SUP001,OFF-PA-10000605,11,3.19,2014-02-08,2014-02-09,Late,35.089999999999996
PUR000194,2014-02-05,ST251,SUP003,OFF-FA-10001843,13,1.28,2014-02-12,2014-02-14,Late,16.64
PUR000195,2014-02-05,ST175,SUP003,OFF-LA-10000634,20,1.46,2014-02-09,2014-02-08,Early,29.2
PUR000196,2014-02-05,ST510,SUP004,FUR-FU-10000672,14,7.95,2014-02-12,2014-02-12,On Time,111.3
PUR000197,2014-02-05,ST471,SUP005,OFF-AR-10000538,9,19.55,2014-02-10,2014-02-14,Late,175.95000000000002
PUR000198,2014-02-05,ST295,SUP008,OFF-PA-10002245,2,3.55,2014-02-12,2014-02-12,On Time,7.1
PUR000199,2014-02-05,ST602,SUP006,OFF-PA-10000176,4,9.75,2014-02-10,2014-02-14,Late,39.0
PUR000200,2014-02-05,ST310,SUP008,OFF-AP-10001005,15,54.7,2014-02-09,2014-02-11,Late,820.5
PUR000201,2014-02-05,ST586,SUP007,TEC-PH-10002563,17,85.9,2014-02-10,2014-02-13,Late,1460.3000000000002
PUR000202,2014-02-05,ST023,SUP005,OFF-PA-10001125,11,18.72,2014-02-11,2014-02-12,Late,205.92
PUR000203,2014-02-05,ST051,SUP011,OFF-ST-10004337,2,62.05,2014-02-12,2014-02-16,Late,124.1
PUR000204,2014-02-05,ST294,SUP015,TEC-PH-10002549,17,178.26,2014-02-09,2014-02-12,Late,3030.42
PUR000205,2014-02-05,ST257,SUP004,OFF-BI-10001510,13,11.9,2014-02-09,2014-02-13,Late,154.70000000000002
PUR000206,2014-02-05,ST041,SUP011,TEC-PH-10002660,5,55.11,2014-02-10,2014-02-15,Late,275.55
PUR000207,2014-02-05,ST135,SUP006,OFF-AP-10002118,16,137.78,2014-02-08,2014-02-09,Late,2204.48
PUR000208,2014-02-05,ST206,SUP003,TEC-AC-10002049,12,163.22,2014-02-09,2014-02-14,Late,1958.6399999999999
PUR000209,2014-02-05,ST544,SUP006,OFF-AR-10003759,19,1.08,2014-02-12,2014-02-13,Late,20.520000000000003
PUR000210,2014-02-05,ST494,SUP014,OFF-EN-10003286,7,4.18,2014-02-10,2014-02-14,Late,29.259999999999998
PUR000211,2014-02-05,ST078,SUP008,OFF-BI-10004002,12,9.54,2014-02-09,2014-02-14,Late,114.47999999999999
PUR000212,2014-02-05,ST407,SUP012,FUR-CH-10004218,9,81.19,2014-02-12,2014-02-13,Late,730.71
PUR000213,2014-02-05,ST271,SUP001,OFF-PA-10000213,4,2.79,2014-02-12,2014-02-11,Early,11.16
PUR000214,2014-02-05,ST269,SUP012,FUR-TA-10000849,16,119.4,2014-02-12,2014-02-14,Late,1910.4
PUR000215,2014-02-05,ST483,SUP004,TEC-AC-10003038,13,6.68,2014-02-08,2014-02-11,Late,86.84
PUR000216,2014-02-05,ST227,SUP010,OFF-AR-10003732,19,1.99,2014-02-08,2014-02-12,Late,37.81
PUR000217,2014-02-05,ST419,SUP005,TEC-PH-10002262,16,46.36,2014-02-08,2014-02-08,On Time,741.76
PUR000218,2014-02-05,ST505,SUP005,OFF-BI-10003707,3,8.31,2014-02-08,2014-02-07,Early,24.93
PUR000219,2014-02-05,ST398,SUP003,OFF-PA-10001950,9,4.94,2014-02-11,2014-02-12,Late,44.46
PUR000220,2014-02-05,ST159,SUP012,OFF-BI-10001524,19,10.73,2014-02-11,2014-02-15,Late,203.87
PUR000221,2014-02-05,ST418,SUP010,OFF-ST-10003058,5,17.91,2014-02-10,2014-02-09,Early,89.55
PUR000222,2014-02-05,ST242,SUP008,OFF-BI-10003910,13,4.0,2014-02-10,2014-02-09,Early,52.0
PUR000223,2014-02-05,ST368,SUP011,TEC-AC-10000171,13,13.22,2014-02-08,2014-02-10,Late,171.86
PUR000224,2014-02-05,ST466,SUP002,TEC-PH-10004120,10,95.08,2014-02-08,2014-02-12,Late,950.8
PUR000225,2014-02-05,ST022,SUP010,FUR-FU-10000732,8,4.39,2014-02-08,2014-02-13,Late,35.12
PUR000226,2014-02-05,ST579,SUP003,OFF-FA-10000134,12,3.8,2014-02-09,2014-02-08,Early,45.599999999999994
